UsingModule;Table;C;R;U;D;HostingModule;Service Description 
auxiliary;IIFRO;x;x;x;x;Financial_Markets;
CORE;IIFXO;;x;x;;Financial_Markets;
auxiliary;IIFXO;;x;x;;Financial_Markets;
Financial_Markets;IILDO;;x;;x;auxiliary;
CORE;IILDO;;x;;x;auxiliary;
CORE;IINIO;;x;;x;auxiliary;
CORE;IINTL;;x;;;Account_Management;
General_Ledger;IINTO;;x;;;Account_Management;
Lending;IINTO;;x;;;Account_Management;Get Product info ( Interest Rates)
Financial_Markets;IINTO;;x;;;Account_Management;
CORE;IINTO;;x;;;Account_Management;
auxiliary;IINTO;;x;;;Account_Management;
General_Ledger;IIOPO;x;x;x;x;Financial_Markets;
CORE;IIOPO;x;x;x;x;Financial_Markets;
auxiliary;IIOPO;x;x;x;x;Financial_Markets;
General_Ledger;IIPIO;;x;;x;Financial_Markets;
Account_Management;IIPIO;;x;;x;Financial_Markets;
Lending;IIPIO;;x;;x;Financial_Markets;
Cash_Management;IIPIO;;x;;x;Financial_Markets;
CORE;IIPIO;;x;;x;Financial_Markets;
auxiliary;IIPIO;;x;;x;Financial_Markets;
Account_Management;IIRSO;x;x;x;x;Financial_Markets;
CORE;IIRSO;x;x;x;x;Financial_Markets;
auxiliary;IIRSO;x;x;x;x;Financial_Markets;
CORE;ILDAO;x;x;;;Financial_Markets;
Financial_Markets;ILDCL;;x;;;Cash_Management;
auxiliary;ILDCL;;x;;;Cash_Management;
Account_Management;ILDCO;;x;;;Cash_Management;
Financial_Markets;ILDCO;;x;;;Cash_Management;
CORE;ILDCO;;x;;;Cash_Management;
auxiliary;ILDCO;;x;;;Cash_Management;
Financial_Markets;ILDPL;;x;;;Financial_Markets;
Account_Management;ILDPO;;x;;;Financial_Markets;
CORE;ILDPO;;x;;;Financial_Markets;
auxiliary;ILDPO;;x;;;Financial_Markets;
Lending;ILDTL;;x;;;auxiliary;
Financial_Markets;ILDTL;;x;;;auxiliary;
CORE;ILDTL;;x;;;auxiliary;
Account_Management;ILNGL;x;;;;Financial_Markets;
Account_Management;ILNGS;;x;;;Financial_Markets;
CORE;ILNGS;;x;;;Financial_Markets;
auxiliary;ILNGS;;x;;;Financial_Markets;
Account_Management;ILPAO;;x;;;Financial_Markets;
CORE;ILPAO;;x;;;Financial_Markets;
auxiliary;ILPAO;;x;;;Financial_Markets;
Account_Management;IMAGO;;x;;;Financial_Markets;
auxiliary;IMAGO;;x;;;Financial_Markets;
CORE;INETL;x;;;;Financial_Markets;
CORE;INETO;;x;;;Financial_Markets;
auxiliary;INETO;;x;;;Financial_Markets;
CORE;INOSL;;;;x;Financial_Markets;
Account_Management;INOSO;;x;;;Financial_Markets;
Cash_Management;INOSO;;x;;;Financial_Markets;
CORE;INOSO;;x;;;Financial_Markets;
auxiliary;INOSO;;x;;;Financial_Markets;
Account_Management;INVMO;;x;;;Financial_Markets;
Cash_Management;INVMO;;x;;;Financial_Markets;
CORE;INVMO;;x;;;Financial_Markets;
auxiliary;INVMO;;x;;;Financial_Markets;
auxiliary;IOASO;x;x;;;Financial_Markets;
Account_Management;IODUL;x;;;;Financial_Markets;
Account_Management;IODUS;x;x;;x;Financial_Markets;
Cash_Management;IODUS;x;x;;x;Financial_Markets;
CORE;IODUS;x;x;;x;Financial_Markets;
auxiliary;IODUS;x;x;;x;Financial_Markets;
Financial_Markets;IOPCL;x;;;;Financial_Markets;
Account_Management;IOPCO;;x;x;;Financial_Markets;
auxiliary;IOPCO;;x;x;;Financial_Markets;
Financial_Markets;IOPPL;x;;;;Financial_Markets;
CORE;IOPPO;;x;x;;Financial_Markets;
auxiliary;IOPPO;;x;x;;Financial_Markets;
Financial_Markets;IOPTL;x;;;;Financial_Markets;
CORE;IOPTL;x;;;;Financial_Markets;
Account_Management;IOPTS;;x;;;Financial_Markets;
Lending;IOPTS;;x;;;Financial_Markets;
CORE;IOPTS;;x;;;Financial_Markets;
auxiliary;IOPTS;;x;;;Financial_Markets;
Cash_Management;IPIBO;;x;;;Financial_Markets;
CORE;IPIBO;;x;;;Financial_Markets;
auxiliary;IPIBO;;x;;;Financial_Markets;
CORE;IPIIO;;x;;;Financial_Markets;
auxiliary;IPIIO;;x;;;Financial_Markets;
CORE;IPMTL;x;;;;Financial_Markets;
Account_Management;IPMTO;;x;;;Financial_Markets;
CORE;IPMTO;;x;;;Financial_Markets;
auxiliary;IPMTO;;x;;;Financial_Markets;
Financial_Markets;IPTIL;;x;;;Financial_Markets;
Account_Management;IPTIO;;x;;;Financial_Markets;
Lending;IPTIO;;x;;;Financial_Markets;IIPTIO naar Instruction Management (Account Management)
Cash_Management;IPTIO;;x;;;Financial_Markets;
CORE;IPTIO;;x;;;Financial_Markets;
auxiliary;IPTIO;;x;;;Financial_Markets;
CORE;IPWDL;x;;;;Financial_Markets;
CORE;IPWDO;x;x;x;;Financial_Markets;
auxiliary;IPWDO;x;x;x;;Financial_Markets;
CORE;IRCVO;;x;;x;Financial_Markets;
auxiliary;IRCVO;;x;;x;Financial_Markets;
CORE;IRFRL;x;;;;Financial_Markets;
CORE;IRFRO;;x;;;Financial_Markets;
auxiliary;IRFRO;;x;;;Financial_Markets;
CORE;IRSAO;;x;;x;Financial_Markets;
Financial_Markets;IRSCL;;x;;;Financial_Markets;
auxiliary;IRSCO;;x;;;Financial_Markets;
auxiliary;IRSPL;x;;;;Financial_Markets;
CORE;IRSPO;;x;x;;Financial_Markets;
auxiliary;IRSPO;;x;x;;Financial_Markets;
Financial_Markets;IRSWL;x;;;;Financial_Markets;
Account_Management;ISAVO;;x;x;;auxiliary;
Financial_Markets;ISAVO;;x;x;;auxiliary;
CORE;ISAVO;;x;x;;auxiliary;
CORE;ISIFO;;x;x;;Financial_Markets;
auxiliary;ISIFO;;x;x;;Financial_Markets;
Lending;ISIML;;x;;;Lending;
Financial_Markets;ISIML;;x;;;Lending;
CORE;ISIML;;x;;;Lending;
Account_Management;ISIMO;;x;;;Lending;
Financial_Markets;ISIMO;;x;;;Lending;
CORE;ISIMO;;x;;;Lending;
auxiliary;ISIMO;;x;;;Lending;
Account_Management;ISPIL;x;;;;Financial_Markets;
Financial_Markets;ISPIL;x;;;;Financial_Markets;
CORE;ISPIL;x;;;;Financial_Markets;
Account_Management;ISPIO;;x;x;;Financial_Markets;
Cash_Management;ISPIO;;x;x;;Financial_Markets;
CORE;ISPIO;;x;x;;Financial_Markets;
auxiliary;ISPIO;;x;x;;Financial_Markets;
Account_Management;ISTLO;;x;x;;Cash_Management;
CORE;ISTLO;;x;x;;Cash_Management;
auxiliary;ISTLO;;x;x;;Cash_Management;
Account_Management;ISTMO;;x;x;;Cash_Management;
CORE;ISTMO;;x;x;;Cash_Management;
auxiliary;ISTMO;;x;x;;Cash_Management;
Financial_Markets;ISWCO;x;x;x;x;CORE;
CORE;ITCFO;;x;;;Cash_Management;
CORE;ITECO;x;x;x;;Financial_Markets;
auxiliary;ITECO;x;x;x;;Financial_Markets;
Account_Management;ITIRO;;x;;;Financial_Markets;
Lending;ITIRO;;x;;;Financial_Markets;
CORE;ITIRO;;x;;;Financial_Markets;
auxiliary;ITIRO;;x;;;Financial_Markets;
auxiliary;ITITO;;;x;;Lending;
Account_Management;ITLDO;;x;;;Lending;
Financial_Markets;ITLDO;;x;;;Lending;
CORE;ITLDO;;x;;;Lending;
auxiliary;ITLDO;;x;;;Lending;
Account_Management;ITOLL;;;x;;Cash_Management;
Account_Management;ITOLO;x;x;;x;Cash_Management;
Financial_Markets;ITOLO;x;x;;x;Cash_Management;
CORE;ITOLO;x;x;;x;Cash_Management;
auxiliary;ITOLO;x;x;;x;Cash_Management;
Account_Management;ITXTO;;x;;;auxiliary;
Financial_Markets;ITXTO;;x;;;auxiliary;
CORE;ITXTO;;x;;;auxiliary;
CORE;IWARL;x;;;;Financial_Markets;
Account_Management;IWARO;;x;;;Financial_Markets;
CORE;IWARO;;x;;;Financial_Markets;
auxiliary;IWARO;;x;;;Financial_Markets;
CORE;IWODL;x;;;;Financial_Markets;
auxiliary;IWODL;x;;;;Financial_Markets;
CORE;IWODO;x;x;x;;Financial_Markets;
auxiliary;IWODO;x;x;x;;Financial_Markets;
CORE;LBGRL;x;;;;CORE;
General_Ledger;LBGRS;;x;;;CORE;
Account_Management;LBGRS;;x;;;CORE;
Lending;LBGRS;;x;;;CORE;
Financial_Markets;LBGRS;;x;;;CORE;
auxiliary;LBGRS;;x;;;CORE;
Account_Management;LBIRO;x;x;x;;Cash_Management;
CORE;LBIRO;x;x;x;;Cash_Management;
auxiliary;LBIRO;x;x;x;;Cash_Management;
Account_Management;LBRAL;;;x;x;CORE;
General_Ledger;LBRAS;;x;;;CORE;
Account_Management;LBRAS;;x;;;CORE;
Lending;LBRAS;;x;;;CORE;
Financial_Markets;LBRAS;;x;;;CORE;
Cash_Management;LBRAS;;x;;;CORE;
auxiliary;LBRAS;;x;;;CORE;
CORE;LBRCL;;;;x;Financial_Markets;
Account_Management;LBRCS;;;x;;Financial_Markets;
CORE;LBRCS;;;x;;Financial_Markets;
auxiliary;LBRCS;;;x;;Financial_Markets;
Account_Management;LBROL;;;x;;Account_Management;
General_Ledger;LBROS;;x;;;Account_Management;
Financial_Markets;LBROS;;x;;;Account_Management;
CORE;LBROS;;x;;;Account_Management;
auxiliary;LBROS;;x;;;Account_Management;
Financial_Markets;LBSKS;;x;;;auxiliary;
CORE;LBSKS;;x;;;auxiliary;
Account_Management;LCBNL;x;;;;Account_Management;
Financial_Markets;LCBNL;x;;;;Account_Management;
CORE;LCBNL;x;;;;Account_Management;
General_Ledger;LCBNS;;x;;;Account_Management;
Lending;LCBNS;;x;;;Account_Management;Get Party Info 
Financial_Markets;LCBNS;;x;;;Account_Management;
Cash_Management;LCBNS;;x;;;Account_Management;[T] Get Party Info
CORE;LCBNS;;x;;;Account_Management;
auxiliary;LCBNS;;x;;;Account_Management;
CORE;LCCCL;;;;x;CORE;
Account_Management;LCCCS;;x;;;CORE;
Financial_Markets;LCCCS;;x;;;CORE;
Cash_Management;LCCCS;;x;;;CORE;
auxiliary;LCCCS;;x;;;CORE;
General_Ledger;LCCYS;;x;;;CORE;
Account_Management;LCCYS;;x;;;CORE;
Lending;LCCYS;;x;;;CORE;
Financial_Markets;LCCYS;;x;;;CORE;
Cash_Management;LCCYS;;x;;;CORE;
auxiliary;LCCYS;;x;;;CORE;
CORE;LCGRL;;;;x;CORE;
Account_Management;LCGRS;;x;;;CORE;
CORE;LCIYL;x;;;;CORE;
General_Ledger;LCIYS;;x;;;CORE;
Account_Management;LCIYS;;x;;;CORE;
Lending;LCIYS;;x;;;CORE;
Financial_Markets;LCIYS;;x;;;CORE;
Cash_Management;LCIYS;;x;;;CORE;
auxiliary;LCIYS;;x;;;CORE;
CORE;LCLIL;;;;x;CORE;
