UsingModule;Table;C;R;U;D;HostingModule;Service Description 
General_Ledger;RSTRT;;x;;;auxiliary;
Account_Management;RSTRT;;x;;;auxiliary;
Lending;RSTRT;;x;;;auxiliary;
Financial_Markets;RSTRT;;x;;;auxiliary;
Cash_Management;RSTRT;;x;;;auxiliary;
CORE;RSTRT;;x;;;auxiliary;
CORE;SECIO;;x;;;auxiliary;
CORE;SECUR;x;;;;auxiliary;
CORE;XFXAS;;x;;;General_Ledger;
auxiliary;XFXAS;;x;;;General_Ledger;
CORE;XFXCO;x;x;x;x;General_Ledger;
auxiliary;XFXCO;x;x;x;x;General_Ledger;
auxiliary;XFXTO;;x;x;;General_Ledger;
Account_Management;XGBAO;;x;;;General_Ledger;
CORE;XGBAO;;x;;;General_Ledger;
CORE;XGBUL;x;;;;General_Ledger;
CORE;XGBUO;;x;;;General_Ledger;
auxiliary;XGBUO;;x;;;General_Ledger;
General_Ledger;XGDCL;x;;;;General_Ledger;
Lending;XGDCS;;x;x;;General_Ledger;Store Invoice Document
Financial_Markets;XGDCS;;x;x;;General_Ledger;Store Invoice Document
CORE;XGDCS;;x;x;;General_Ledger;
auxiliary;XGDCS;;x;x;;General_Ledger;
General_Ledger;XGMVL;x;;;;General_Ledger;
CORE;XGMVO;;x;;;General_Ledger;
auxiliary;XGMVO;;x;;;General_Ledger;
General_Ledger;XGPAL;x;;;;General_Ledger;
CORE;XGPAL;x;;;;General_Ledger;
CORE;XGPAO;;x;x;;General_Ledger;
auxiliary;XGPAO;;x;x;;General_Ledger;
CORE;XGPML;x;;;;General_Ledger;
CORE;XGPMO;;x;;;General_Ledger;
auxiliary;XGPMO;;x;;;General_Ledger;
CORE;XHVBO;x;x;x;;General_Ledger;
auxiliary;XHVBO;x;x;x;;General_Ledger;
