module;contains;element;name
Account_Management;contains;[I]program;DSLVM
Account_Management;contains;[I]program;DSV1M
Account_Management;contains;[R]program;DUCALCOSPE
Account_Management;contains;[R]program;DUCALCOSTS
Account_Management;contains;[R]program;DUCALCSTD
Account_Management;contains;[R]program;DUFLCHO
Account_Management;contains;[R]program;DUFLICM
Account_Management;contains;[R]program;DUGRCDACCT
Account_Management;contains;[R]program;DULDCCLMVT
Account_Management;contains;[R]program;DULDCLEAPC
Account_Management;contains;[R]program;DULDCLEARS
Account_Management;contains;[R]program;DULDCUSTM
Account_Management;contains;[R]program;DUMCHANNEL
Account_Management;contains;[R]program;DUZEROBA2
Account_Management;contains;[R]program;DUZEROBA3
Account_Management;contains;[R]program;DUZEROBAL
Account_Management;contains;[G]program;GI-089-SWIFTHEAD
Account_Management;contains;[G]program;GI-105-IFSPRINT-2
Account_Management;contains;[G]program;GI-105-IFSPRINT-3
Account_Management;contains;[G]program;GI-106-SDS
Account_Management;contains;[G]program;GI-117-CNFMASKS
Account_Management;contains;[G]program;GI-132-ATRDO
Account_Management;contains;[G]program;GI-ADBA2-LGRBAL
Account_Management;contains;[R]program;GLEASYSERV
Account_Management;contains;[G]program;GP-027TREF
Account_Management;contains;[G]program;GP-028DCS
Account_Management;contains;[G]program;GP-048-MTPLHIS
Account_Management;contains;[G]program;GP-052GETNXTIBATO
Account_Management;contains;[G]program;GP-055-GETFAMILY
Account_Management;contains;[G]program;GP-055-GETMASTER
Account_Management;contains;[G]program;GP-060-GET-CFACS
Account_Management;contains;[G]program;GP-064-FBNK
Account_Management;contains;[G]program;GP-072-BAL-CHECKC
Account_Management;contains;[G]program;GP-072-BAL-CHECKN
Account_Management;contains;[G]program;GP-072-BAL-CHECKT
Account_Management;contains;[G]program;GP-078FILL-PMTDAT
Account_Management;contains;[G]program;GP-081-CHQ-ATRDOW
Account_Management;contains;[G]program;GP-094-CHKSWADR
Account_Management;contains;[G]program;GP-110-ACCBLK
Account_Management;contains;[G]program;GP-117-STDLOGO
Account_Management;contains;[G]program;GP-145-CALC-CHRG
Account_Management;contains;[G]program;GP-164-GET-ABIMOT
Account_Management;contains;[G]program;GP-CHECK-CFACS
Account_Management;contains;[G]program;GP-CHECK-CFACS-2
Account_Management;contains;[I]program;GPRT5
Account_Management;contains;[I]program;GPRTA
Account_Management;contains;[R]program;GUCRESUB3
Account_Management;contains;[R]program;GUFFTFIX
